id;name;firstname;zip;city;birthdate;street;housenr;stateCode;state
 62;yyixf-name;yzt-firstname; 18020;lwx-city;1974/01/29;iede-street; 120;NV;NEVADA
 63;dkszq-name;ytd-firstname; 14700;zwh-city;1979/01/11;nbjz-street; 65;AS;AMERICAN SAMOA
 64;slkzv-name;zbg-firstname; 19880;oee-city;1978/11/01;sphg-street; 119;OK;OKLAHOMA
 65;nvxim-name;phc-firstname; 19220;vgg-city;1991/01/24;juok-street; 106;FM;FEDERATED STATES OF MICRONESIA
 66;piyfg-name;xtn-firstname; 13760;nde-city;1954/07/22;vfrv-street; 11;NY;NEW YORK
 67;jnusz-name;mjw-firstname; 12640;nwb-city;1986/08/23;kcsa-street; 138;VA;VIRGINIA
 68;jnypj-name;ioq-firstname; 17000;zqy-city;1986/01/09;croe-street; 119;PW;PALAU
 69;uohts-name;btx-firstname; 13480;dal-city;1990/10/22;llyw-street; 150;WA;WASHINGTON
 70;aavpj-name;pvw-firstname; 13780;lai-city;1954/09/23;nygu-street; 171;FL;FLORIDA
 71;nbjcj-name;rsf-firstname; 12000;kjl-city;1986/06/30;ijsb-street; 123;ID;IDAHO
 72;syjxh-name;gkq-firstname; 19960;rmd-city;1978/10/26;qmyp-street; 161;MN;MINNESOTA
 73;vkojz-name;ryo-firstname; 14300;bmz-city;1954/09/11;gcpj-street; 71;ND;NORTH DAKOTA
 74;pqzfw-name;kld-firstname; 16400;qvq-city;1962/09/09;dhbv-street; 92;ND;NORTH DAKOTA
 75;owvjk-name;fez-firstname; 19740;ldb-city;1978/06/14;kabf-street; 87;VA;VIRGINIA
 76;qsfih-name;ixe-firstname; 16860;qvr-city;1987/01/07;qean-street; 159;CO;COLORADO
 77;slixq-name;gmb-firstname; 19980;ftt-city;1982/06/22;xinx-street; 111;VT;VERMONT
 78;eegsa-name;xlc-firstname; 12680;byk-city;1954/04/23;beul-street; 56;MD;MARYLAND
 79;phevp-name;ihs-firstname; 16120;adc-city;1978/04/25;voig-street; 98;NM;NEW MEXICO
 80;njfoe-name;tag-firstname; 16580;tnr-city;1966/12/04;dhky-street; 108;LA;LOUISIANA
 81;bdncx-name;hcd-firstname; 11260;xcl-city;1970/07/02;jvlp-street; 49;GA;GEORGIA
 82;ikedo-name;tks-firstname; 17460;odl-city;1958/08/25;iaaq-street; 8;GU;GUAM
 83;iafxy-name;vur-firstname; 11480;hgt-city;1962/08/03;hmec-street; 164;TX;TEXAS
 84;lafhf-name;ssz-firstname; 19560;wwp-city;1951/01/25;mxmq-street; 96;IN;INDIANA
 85;okyny-name;hbu-firstname; 16800;yok-city;1978/03/28;ipjz-street; 135;NV;NEVADA
 86;hznby-name;fwy-firstname; 13680;wbi-city;1970/07/25;mxui-street; 170;CT;CONNECTICUT
 87;ztpoa-name;rzk-firstname; 18500;qum-city;1970/07/26;blqr-street; 152;ME;MAINE
 88;gitxz-name;axt-firstname; 11800;fck-city;1974/01/12;tmjw-street; 189;SD;SOUTH DAKOTA
 89;ziomm-name;mcv-firstname; 12940;iwq-city;1950/10/22;hqgj-street; 140;DC;DISTRICT OF COLUMBIA
 90;otncg-name;tuy-firstname; 16540;ulk-city;1971/01/24;yuia-street; 166;TX;TEXAS
 91;cnabb-name;hoq-firstname; 16300;tuw-city;1962/06/17;ujvv-street; 61;ME;MAINE
 92;ucogf-name;ggc-firstname; 14500;fsj-city;1978/02/08;asfi-street; 53;WV;WEST VIRGINIA
 93;lbpmf-name;sdt-firstname; 10780;ewj-city;1978/03/08;hxsp-street; 102;NV;NEVADA
 94;tieqq-name;uyu-firstname; 17740;wea-city;1966/10/31;abpl-street; 187;MO;MISSOURI
 95;fsgwf-name;vjd-firstname; 12460;ads-city;1970/11/29;yeou-street; 10;MA;MASSACHUSETTS
 96;reeba-name;kzs-firstname; 13100;zhc-city;1966/07/08;abmv-street; 88;FL;FLORIDA
 97;shybc-name;gcp-firstname; 10660;ahg-city;1950/12/15;hrqy-street; 174;KS;KANSAS
 98;phszr-name;sst-firstname; 13080;ydd-city;1954/09/23;quqn-street; 2;RI;RHODE ISLAND
 99;jteco-name;fxc-firstname; 19760;agr-city;1986/05/06;dzxc-street; 108;MD;MARYLAND
 100;qvaar-name;icx-firstname; 16120;boc-city;1978/08/04;bfzf-street; 12;NM;NEW MEXICO
 101;iiapu-name;veo-firstname; 10180;wdv-city;1954/05/29;ovyu-street; 55;WI;WISCONSIN
 102;qfawh-name;wlx-firstname; 11280;fad-city;1962/04/28;hibx-street; 188;MP;NORTHERN MARIANA ISLANDS
 103;nfurq-name;rib-firstname; 17080;xcp-city;1962/11/10;rqui-street; 164;MI;MICHIGAN
 104;hdbiw-name;wxm-firstname; 12600;txy-city;1978/11/23;yfcx-street; 112;OK;OKLAHOMA
 105;oyher-name;jws-firstname; 17900;bai-city;1978/12/30;tyil-street; 178;NC;NORTH CAROLINA
 106;fzjnb-name;wxk-firstname; 12300;fda-city;1974/03/26;aweg-street; 7;MO;MISSOURI
 107;ycpcp-name;xfq-firstname; 12660;mna-city;1986/02/14;dcki-street; 5;AZ;ARIZONA
 108;rxxeb-name;qdw-firstname; 17600;yks-city;1970/11/15;zvsf-street; 74;MH;MARSHALL ISLANDS
 109;ffbgl-name;fqf-firstname; 11680;npo-city;1974/12/07;vvan-street; 175;GA;GEORGIA
 110;foygy-name;vog-firstname; 16920;mun-city;1970/07/03;urct-street; 153;HI;HAWAII
 111;imoqe-name;xfe-firstname; 14620;gfv-city;1986/02/20;nlak-street; 181;AK;ALASKA
 112;mnhwk-name;bbt-firstname; 16180;bnf-city;1986/10/10;yybd-street; 144;AL;ALABAMA
 113;lkfyf-name;xhg-firstname; 13260;myb-city;1958/10/27;jjcn-street; 128;GA;GEORGIA
 114;bkhya-name;hrh-firstname; 11500;byw-city;1990/03/03;oubr-street; 41;MH;MARSHALL ISLANDS
 115;avceb-name;ztu-firstname; 10020;ogo-city;1974/05/26;iuob-street; 31;KS;KANSAS
 116;pnacg-name;iws-firstname; 11640;dtx-city;1966/06/01;kwwj-street; 177;WV;WEST VIRGINIA
 117;ypnsc-name;tyv-firstname; 16820;glg-city;1962/12/19;nysz-street; 13;OK;OKLAHOMA
 118;agndn-name;qae-firstname; 15540;tpg-city;1990/05/15;ygzx-street; 166;NV;NEVADA
 119;qqhon-name;tlb-firstname; 19880;iif-city;1982/02/05;vsbj-street; 191;MP;NORTHERN MARIANA ISLANDS
 120;qzxic-name;mot-firstname; 14840;qvf-city;1970/03/19;gelo-street; 149;WA;WASHINGTON
 121;lunca-name;ced-firstname; 13700;wjp-city;1979/01/06;racn-street; 54;ID;IDAHO
 122;jsxhg-name;yoo-firstname; 13440;ulf-city;1982/06/28;krry-street; 55;NY;NEW YORK
 123;ugbci-name;vht-firstname; 17100;ffc-city;1962/10/16;ixha-street; 99;VT;VERMONT
 124;hgtkz-name;xgg-firstname; 17500;qck-city;1978/07/17;xkez-street; 60;AK;ALASKA
 125;ejdoc-name;ovv-firstname; 14920;ocs-city;1954/11/15;bwhd-street; 169;FL;FLORIDA
 126;zoucr-name;ivo-firstname; 14040;grt-city;1990/04/29;qhox-street; 90;WI;WISCONSIN
 127;asofx-name;yzv-firstname; 19600;ixo-city;1982/07/09;slmy-street; 198;MO;MISSOURI
 128;tgowi-name;zvm-firstname; 17560;avv-city;1986/11/04;qnyp-street; 83;AS;AMERICAN SAMOA
 129;toeur-name;ydp-firstname; 17260;dpz-city;1962/11/02;atag-street; 60;IN;INDIANA
 130;eohex-name;vfp-firstname; 17000;gzc-city;1970/01/05;cvlk-street; 188;UT;UTAH
 131;mahci-name;cwt-firstname; 18240;wut-city;1982/08/02;zyse-street; 147;OR;OREGON
 132;hzetq-name;kif-firstname; 14280;aep-city;1990/11/26;rrsr-street; 118;NE;NEBRASKA
 133;tjrgp-name;vle-firstname; 15620;sdv-city;1962/12/08;zdyx-street; 88;WV;WEST VIRGINIA
 134;japyi-name;jkm-firstname; 14960;jeo-city;1958/03/01;bsxv-street; 86;TX;TEXAS
 135;eqley-name;ttv-firstname; 12740;trs-city;1974/09/16;ibff-street; 187;CA;CALIFORNIA
 136;dbvkz-name;efr-firstname; 13700;ujo-city;1958/05/14;louh-street; 22;MP;NORTHERN MARIANA ISLANDS
 137;mpgcz-name;ysk-firstname; 11860;eva-city;1978/08/23;nedx-street; 101;MT;MONTANA
 138;bntsw-name;osn-firstname; 15700;mmv-city;1966/07/28;loqs-street; 34;WY;WYOMING
 139;yfcbv-name;ing-firstname; 10300;ddb-city;1966/04/12;amuj-street; 32;SD;SOUTH DAKOTA
 140;ddwqy-name;rxo-firstname; 18720;nsh-city;1974/06/22;rugn-street; 105;LA;LOUISIANA
 141;zuxwq-name;xha-firstname; 12240;jii-city;1974/04/22;kawh-street; 97;NJ;NEW JERSEY
 142;aarej-name;dfg-firstname; 14680;exu-city;1958/04/17;adua-street; 11;NE;NEBRASKA
 143;iezfw-name;ufb-firstname; 18800;fyv-city;1970/06/05;yvao-street; 53;HI;HAWAII
 144;vvmzr-name;bud-firstname; 15120;ggo-city;1966/07/24;ozcj-street; 127;MT;MONTANA
 145;bknbv-name;qrd-firstname; 11500;mth-city;1970/04/16;ijle-street; 143;NH;NEW HAMPSHIRE
 146;bwyxl-name;fdq-firstname; 13160;ngn-city;1954/07/05;nkco-street; 120;DE;DELAWARE
 147;lkkwb-name;yqh-firstname; 19580;pwn-city;1954/10/16;rgdl-street; 185;MN;MINNESOTA
 148;uokzd-name;aco-firstname; 13940;wyf-city;1966/02/07;lbhd-street; 23;NH;NEW HAMPSHIRE
 149;tdmol-name;hkb-firstname; 11960;wbi-city;1970/06/03;wboh-street; 59;ND;NORTH DAKOTA
 150;erulk-name;xcd-firstname; 11420;kzt-city;1990/02/07;bmcb-street; 160;DC;DISTRICT OF COLUMBIA
 151;atrip-name;mlq-firstname; 14440;agk-city;1986/11/08;qhdv-street; 29;IN;INDIANA
 152;atiir-name;brc-firstname; 11380;sas-city;1958/10/20;dwyv-street; 100;AR;ARKANSAS
 153;cvygb-name;kdu-firstname; 17300;etl-city;1954/11/13;bdxo-street; 43;MA;MASSACHUSETTS
 154;jeyeq-name;yjl-firstname; 12740;jgr-city;1978/06/21;aavd-street; 61;NY;NEW YORK
 155;wojgm-name;xdk-firstname; 13340;meq-city;1982/10/20;ttix-street; 61;MT;MONTANA
 156;oktge-name;taf-firstname; 11200;ibx-city;1990/09/05;clbk-street; 70;UT;UTAH
 157;cdrrm-name;dmu-firstname; 11980;bqa-city;1962/06/18;owlk-street; 26;NY;NEW YORK
 158;jyqvl-name;rht-firstname; 11120;qrk-city;1982/04/20;qbrn-street; 55;WY;WYOMING
 159;spfxh-name;oqv-firstname; 14740;gyh-city;1970/07/08;oiin-street; 59;NC;NORTH CAROLINA
 160;sczwy-name;mhg-firstname; 17860;izz-city;1970/08/25;xehg-street; 2;NJ;NEW JERSEY
 161;lklcm-name;rcy-firstname; 11960;ycf-city;1982/07/04;path-street; 179;NJ;NEW JERSEY
 162;jcluy-name;tlk-firstname; 10380;lsi-city;1970/03/17;ugqr-street; 138;NJ;NEW JERSEY
 163;qqdvp-name;hsh-firstname; 18240;bqf-city;1982/01/01;nupe-street; 153;LA;LOUISIANA
 164;rxlox-name;uoi-firstname; 15600;uvd-city;1954/04/03;gjmv-street; 197;MA;MASSACHUSETTS
 165;kjypq-name;wgt-firstname; 14060;yrs-city;1978/06/09;ijks-street; 144;CO;COLORADO
 166;zegdj-name;fpi-firstname; 13380;znp-city;1978/04/26;pdlh-street; 187;KY;KENTUCKY
 167;ihkkq-name;gtk-firstname; 15740;qbg-city;1970/06/18;odsg-street; 95;CO;COLORADO
 168;yhnuk-name;uhh-firstname; 16720;hoo-city;1978/06/20;vrcy-street; 186;KS;KANSAS
 169;ftpvt-name;ufk-firstname; 13600;wat-city;1954/10/16;nxax-street; 112;OR;OREGON
 170;xoiyz-name;xqq-firstname; 14560;kea-city;1986/08/10;bivl-street; 177;MN;MINNESOTA
 171;wfeuq-name;qec-firstname; 16540;obq-city;1950/11/17;keyf-street; 108;UT;UTAH
 172;pfrmg-name;tyi-firstname; 15360;tjx-city;1979/01/30;lyhr-street; 78;NE;NEBRASKA
 173;najqw-name;ldk-firstname; 10220;bci-city;1982/04/01;qxuf-street; 84;MS;MISSISSIPPI
 174;qbqrg-name;zyo-firstname; 13420;cdh-city;1958/06/13;gqst-street; 167;WY;WYOMING
 175;lnaxv-name;zwt-firstname; 14740;lok-city;1962/10/06;mmdu-street; 149;KY;KENTUCKY
 176;tpgpm-name;qie-firstname; 14960;opy-city;1958/07/14;uxfv-street; 158;SC;SOUTH CAROLINA
 177;nltvw-name;ahc-firstname; 19520;uxf-city;1958/03/16;fwsy-street; 131;CA;CALIFORNIA
 178;ujfpc-name;cwd-firstname; 13800;gki-city;1974/10/10;sgiq-street; 12;FL;FLORIDA
 179;pehcm-name;mah-firstname; 15940;azs-city;1970/05/07;hvvk-street; 9;PR;PUERTO RICO
 180;phlqr-name;qog-firstname; 12160;qvt-city;1966/09/11;isol-street; 155;AZ;ARIZONA
 181;bxerk-name;kxv-firstname; 14180;sek-city;1982/02/18;ctwu-street; 84;CA;CALIFORNIA
 182;nmlqw-name;oyf-firstname; 12640;tmv-city;1962/02/26;eqss-street; 141;NE;NEBRASKA
 183;kobcl-name;pht-firstname; 15820;nky-city;1978/05/14;vfnd-street; 176;PR;PUERTO RICO
 184;lvbqi-name;juh-firstname; 12780;rst-city;1958/12/18;wwko-street; 22;MP;NORTHERN MARIANA ISLANDS
 185;yqqmt-name;zrg-firstname; 12780;hxs-city;1954/08/12;mdxh-street; 190;MS;MISSISSIPPI
 186;osbyt-name;qtk-firstname; 14900;ltd-city;1990/06/21;quqn-street; 59;MO;MISSOURI
 187;vibab-name;vgy-firstname; 19600;jxa-city;1958/09/20;czps-street; 137;AR;ARKANSAS
 188;vrnml-name;qmd-firstname; 15860;mxe-city;1966/07/23;ybfc-street; 148;DE;DELAWARE
 189;thimt-name;ige-firstname; 12900;dqn-city;1966/05/07;bccw-street; 187;OK;OKLAHOMA
 190;jdzou-name;qnd-firstname; 17600;fzi-city;1958/06/12;ewtx-street; 174;IN;INDIANA
 191;bsvvw-name;hfa-firstname; 14180;kmn-city;1974/09/19;zvdw-street; 13;UT;UTAH
 192;iwbao-name;qur-firstname; 19500;jlk-city;1982/08/08;kllj-street; 113;WA;WASHINGTON
 193;xpxla-name;yzv-firstname; 19020;eze-city;1954/04/22;taku-street; 105;AS;AMERICAN SAMOA
 194;gqugh-name;sdy-firstname; 14360;pwi-city;1974/03/11;qybh-street; 95;KY;KENTUCKY
 195;bueoc-name;sfx-firstname; 10560;xhn-city;1970/08/29;zfin-street; 48;NC;NORTH CAROLINA
 196;fyrln-name;fay-firstname; 10820;qtd-city;1974/11/04;yrtc-street; 120;MH;MARSHALL ISLANDS
 197;zuhli-name;qwr-firstname; 19800;nqp-city;1970/01/21;mdew-street; 8;VA;VIRGINIA
 198;rwplk-name;jkr-firstname; 18080;khf-city;1978/02/28;ihkv-street; 134;MT;MONTANA
 199;ssbzy-name;azn-firstname; 11440;ire-city;1954/11/16;sjou-street; 55;CO;COLORADO
 200;zbhue-name;ces-firstname; 19840;ybc-city;1974/07/17;ktsw-street; 94;ND;NORTH DAKOTA
 201;tcpnt-name;tgk-firstname; 19580;nox-city;1990/02/24;rmst-street; 59;MS;MISSISSIPPI
 202;avrpe-name;aaz-firstname; 14000;anm-city;1950/09/02;ddjz-street; 197;FL;FLORIDA
 203;qemau-name;lbl-firstname; 15620;jkx-city;1962/07/23;kxdn-street; 38;PA;PENNSYLVANIA
 204;xzeqe-name;bjx-firstname; 12960;qiv-city;1958/09/07;yohx-street; 22;VA;VIRGINIA
 205;ufbqh-name;dcm-firstname; 17720;tch-city;1978/10/16;sqis-street; 119;NM;NEW MEXICO
 206;cfwje-name;kng-firstname; 15980;hmf-city;1974/09/23;timl-street; 105;NV;NEVADA
 207;dpswi-name;lzu-firstname; 11020;mby-city;1962/10/14;stnj-street; 143;UT;UTAH
 208;padrh-name;yvj-firstname; 17680;pqc-city;1986/11/28;xmxq-street; 81;GU;GUAM
 209;blcun-name;erh-firstname; 16200;sgc-city;1950/10/10;sqkp-street; 29;PA;PENNSYLVANIA
 210;jxuox-name;ztl-firstname; 13140;hox-city;1962/08/12;vxgj-street; 83;KS;KANSAS
 211;bcfua-name;urk-firstname; 11540;mhn-city;1982/10/09;poor-street; 21;VI;VIRGIN ISLANDS
 212;nmccn-name;nlv-firstname; 11780;dec-city;1974/07/05;txyt-street; 125;FL;FLORIDA
 213;cwcfl-name;nye-firstname; 10620;ciu-city;1974/06/14;dumh-street; 124;TX;TEXAS
 214;bewhj-name;mcq-firstname; 16040;vir-city;1951/01/31;uhse-street; 78;MA;MASSACHUSETTS
 215;owbls-name;mcq-firstname; 12940;zjk-city;1962/08/21;plgy-street; 185;NJ;NEW JERSEY
 216;tjwtx-name;uur-firstname; 13400;jqa-city;1962/05/15;hhzi-street; 134;KS;KANSAS
 217;aynmw-name;obp-firstname; 13820;hbu-city;1974/12/09;lfeb-street; 28;NV;NEVADA
 218;aivbc-name;fkc-firstname; 14980;mew-city;1958/05/19;rxqg-street; 41;AK;ALASKA
 219;nkeha-name;ddi-firstname; 17680;wzu-city;1986/03/04;xtik-street; 11;RI;RHODE ISLAND
 220;hyyqm-name;vac-firstname; 17600;gph-city;1954/04/28;rjxi-street; 22;NY;NEW YORK
 221;sifar-name;yth-firstname; 12840;kbe-city;1982/11/18;mnje-street; 5;NY;NEW YORK
 222;bxlyk-name;pla-firstname; 15740;zpb-city;1990/12/07;viys-street; 171;HI;HAWAII
 223;ifcwk-name;yfu-firstname; 10000;itv-city;1982/06/16;iuya-street; 77;SD;SOUTH DAKOTA
 224;fherw-name;acw-firstname; 13000;dxg-city;1970/09/09;zscv-street; 45;VT;VERMONT
 225;cvbfh-name;tbs-firstname; 13160;znt-city;1958/07/20;exfl-street; 171;LA;LOUISIANA
 226;sxpuq-name;qdu-firstname; 13000;lhm-city;1971/01/08;yooq-street; 80;VT;VERMONT
 227;xawor-name;glz-firstname; 18160;dxx-city;1954/12/08;fjnf-street; 130;FM;FEDERATED STATES OF MICRONESIA
 228;dwpda-name;dtg-firstname; 15380;zyz-city;1974/04/21;gozg-street; 96;MT;MONTANA
 229;airyv-name;oue-firstname; 16900;gbm-city;1986/07/14;xfte-street; 45;MP;NORTHERN MARIANA ISLANDS
 230;omfog-name;zhv-firstname; 17020;lep-city;1970/03/21;trww-street; 128;LA;LOUISIANA
 231;ddgah-name;ost-firstname; 13580;ojl-city;1958/03/07;gnln-street; 155;KY;KENTUCKY
 232;feggq-name;cro-firstname; 18780;wtj-city;1966/10/01;jesi-street; 63;NM;NEW MEXICO
 233;ahxvq-name;nes-firstname; 11660;niu-city;1950/06/06;upyk-street; 185;WA;WASHINGTON
 234;gjlqf-name;mvv-firstname; 19620;roc-city;1974/05/01;tsqu-street; 19;MI;MICHIGAN
 235;xbcip-name;vyn-firstname; 10560;nru-city;1986/12/06;qxfi-street; 114;WI;WISCONSIN
 236;cdwuj-name;sks-firstname; 12560;typ-city;1954/01/31;fkwb-street; 128;DC;DISTRICT OF COLUMBIA
 237;bsekx-name;wbw-firstname; 14280;twm-city;1962/09/11;bxui-street; 174;NM;NEW MEXICO
 238;foppd-name;zlw-firstname; 13580;hmg-city;1974/04/29;yiwk-street; 68;MN;MINNESOTA
 239;brtej-name;cqi-firstname; 11000;elz-city;1982/10/16;uauh-street; 23;PA;PENNSYLVANIA
 240;cpklp-name;tps-firstname; 11440;nsm-city;1950/10/28;cmjv-street; 139;PR;PUERTO RICO
 241;opbzn-name;bxz-firstname; 12860;jnq-city;1966/05/08;nkuq-street; 35;MP;NORTHERN MARIANA ISLANDS
 242;kxkmx-name;ziy-firstname; 17460;wqq-city;1974/11/05;gnha-street; 192;WV;WEST VIRGINIA
 243;lxpbu-name;jph-firstname; 19500;fpa-city;1954/10/01;gdls-street; 163;MI;MICHIGAN
 244;erhwd-name;wvu-firstname; 11880;iza-city;1962/08/03;ucsh-street; 75;undefined;undefined
 245;tjuxy-name;jzf-firstname; 10580;nyq-city;1970/04/30;gbes-street; 189;AR;ARKANSAS
 246;piocq-name;skz-firstname; 14600;xuq-city;1978/07/12;inae-street; 27;ME;MAINE
 247;bqjty-name;ybj-firstname; 13040;jqu-city;1954/11/30;ugcn-street; 159;AL;ALABAMA
 248;xexrx-name;fpu-firstname; 19720;ckc-city;1974/06/30;zpez-street; 46;IN;INDIANA
 249;auzgu-name;dam-firstname; 18460;mih-city;1962/07/28;augp-street; 112;MD;MARYLAND
 250;xupoe-name;fdb-firstname; 13440;llr-city;1986/10/01;forq-street; 185;IL;ILLINOIS
 251;sgely-name;pzz-firstname; 15920;jya-city;1950/02/02;kypg-street; 147;DC;DISTRICT OF COLUMBIA
 252;onini-name;zts-firstname; 18060;avs-city;1974/12/02;kxjn-street; 85;TX;TEXAS
